title,start_date,deadline_date,summary,amount,fund_name,source_url,category,fetched_at
,,,,,,,SDGs,2025-10-08
”カナエルチカラ”2026　10/31,2025-10-01,2025-10-31,「生きるたのしみ」と「働くよろこび」が相互に良い影響を与え合い、豊かな関係性を築く事業を支援対象とします。,,中央労働金庫,https://chuo.rokin.com/aboutus/csr/subsidy/application/,福祉 / SDGs,2025-10-08
がん患者支援活動助成 ー 希望をともに育むプロジェクト ー　11/4,,2025-11-04,日本国内において、がん患者・家族の支援推進を目的とする、新たな活動の立ち上げまたは既存活動の拡充を図る活動を対象とします。ただし、日本対がん協会「がんアドボケート活動助成」の過去の採択団体は、新たな活動の立ち上げに限り対象とします。日本対がん協会との共同主催活動は対象外とします。,,日本対がん協会,https://www.gsclub.jp/grant-program,医療 / 福祉,2025-10-08
環境保全プロジェクト助成　10/19,,2025-10-19,国内において、自然保護、生態系保全、ごみ問題、気候・エネルギーなど環境に関する分野で実践的活動や普及啓発活動を行い、原則として2025年度中に開始されるか既に開始されており、継続性および発展性を持ちその成果が公益に貢献するプロジェクトを対象とします。,,公益財団法人SOMPO環境財団,https://www.sompo-ef.org/project/project.html,環境 / SDGs,2025-10-08
,,,,,,,その他,2025-10-08
,,,,,,,SDGs / 地域活性 / 福祉,2025-10-08
2026年度コープみらい・くらしと地域づくり助成 10/31,2025-09-01,2025-10-31,公益を目的とし、政治・宗教活動や営利を事業目的としない団体で、千葉県、埼玉県、東京都に活動拠点を持ち、すでに活動しているか、活動を立ち上げようとしている団体を対象とします。法人格の有無は問わず、代表者・所在地等、組織や事業の運営に関する重要事項が定まっており、会員数が5人以上であることが要件です。,,一般財団法人コープみらい社会活動財団,https://www.coopmirai-zaidan.or.jp/josei/collect/,地域活性,2025-10-08
,,,,,,,その他,2025-10-08
,,,,,,,SDGs,2025-10-08
,,,,,,,その他,2025-10-08
,,,,,,,その他,2025-10-08
,,,,,,,その他,2025-10-08
第26回社会貢献基金助成　1/31,2025-10-01,2026-01-31,本助成の対象は、本助成の趣旨に合致する事業を行う非営利組織（財団法人、社団法人、社会福祉法人、NPO法人、その他任意団体、市民ボランティアグループを含む）とします。個人資格による申請は対象外です。当該団体は、定款に準ずる規約、自ら経理し監査できる会計機能、日本国内に主たる事務所、および活動を執行する体制を有することを要します。さらに、本申請の活動または類似活動の実績が3年以上あり、ニーズが高く継続性が期待できること、および他の民間団体等からの助成を除く自己資金を保有していることを条件とします。,,一般社団法人全日本冠婚葬祭互助協会(全五協）,https://www.zengokyo.or.jp/social/fund/support/,その他,2025-10-08
,,,,,,,その他,2025-10-08
2026年度 「環境市民活動助成」　10/31,2025-09-01,2025-10-31,地域の市民活動団体、非営利の活動を行う団体、およびNPO法人、一般社団法人、自治会、町内会を含む任意団体を対象とします。,,一般財団法人セブン-イレブン記念財団,https://www.7midori.org/josei/,環境 / 地域活性,2025-10-08
,,,,,,,その他,2025-10-08
